ticket_id,created_date,resolved_date,category,priority,sla_target_hours,first_response_hours,resolution_time_hours,sla_breached,status,assigned_team,agent_name,location,channel,customer_satisfaction
INC100208,2025-01-01 12:06:25,2025-01-01 19:34:37,Access Management,Low,48,7.47,7.47,False,Closed,Security Team,L. Fernandes,Branch - New York,Email,5
INC100123,2025-01-01 13:36:24,2025-01-02 09:32:12,Printer,High,8,2.31,19.93,True,Resolved,Security Team,H. Osei,HQ - Dubai,Walk-in,4
INC100671,2025-01-01 13:38:35,2025-01-02 00:06:11,Software,High,8,3.2,10.46,True,Closed,Service Desk L1,E. Zhou,Branch - London,Self-Service Portal,1
INC100254,2025-01-01 16:58:07,2025-01-01 17:34:07,Email,High,8,0.6,0.6,False,Reopened,Network Ops,G. Petrov,HQ - Dubai,Self-Service Portal,
INC101299,2025-01-01 17:52:03,2025-01-02 11:20:15,Printer,High,8,1.75,17.47,True,Resolved,App Support,H. Osei,HQ - Dubai,Self-Service Portal,4
INC101178,2025-01-01 18:47:41,2025-01-04 23:53:05,Email,Low,48,16.84,77.09,True,Reopened,Systems Admin,H. Osei,Branch - London,Email,
INC100740,2025-01-01 19:37:20,2025-01-02 08:16:56,Application Support,High,8,0.47,12.66,True,Resolved,Network Ops,G. Petrov,Remote,Chat,4
INC101660,2025-01-01 21:10:18,2025-01-02 10:40:18,Access Management,Low,48,13.5,13.5,False,Reopened,Security Team,H. Osei,Branch - Singapore,Self-Service Portal,
INC101024,2025-01-02 01:36:33,2025-01-02 19:17:57,Hardware,Medium,24,2.19,17.69,False,Resolved,Service Desk L1,F. Torres,Branch - Singapore,Email,5
INC102474,2025-01-02 03:58:54,2025-01-02 18:25:18,Software,Medium,24,2.28,14.44,False,Resolved,Network Ops,K. Meyer,Remote,Self-Service Portal,5
INC100024,2025-01-02 04:42:35,2025-01-02 07:15:35,Network,Medium,24,0.96,2.55,False,Reopened,Security Team,A. Khan,HQ - Dubai,Phone,
INC101757,2025-01-02 08:25:39,2025-01-02 19:12:27,Access Management,Critical,4,1.86,10.78,True,Resolved,Service Desk L1,C. Novak,Branch - London,Phone,3
INC101193,2025-01-02 08:47:13,2025-01-02 14:47:13,Email,High,8,0.19,6.0,False,Resolved,Systems Admin,L. Fernandes,Remote,Chat,5
INC100535,2025-01-02 09:00:34,2025-01-05 01:32:22,Application Support,Low,48,1.2,64.53,True,Resolved,App Support,G. Petrov,Remote,Self-Service Portal,3
INC100622,2025-01-02 16:05:56,2025-01-02 23:41:56,Access Management,Medium,24,0.75,7.6,False,Resolved,Network Ops,K. Meyer,HQ - Dubai,Chat,4
INC102613,2025-01-02 18:29:59,2025-01-03 22:03:35,Software,Medium,24,3.83,27.56,True,Resolved,App Support,K. Meyer,Branch - Singapore,Self-Service Portal,2
INC102898,2025-01-03 00:40:11,2025-01-03 10:25:11,Software,High,8,3.2,9.75,True,Closed,Network Ops,G. Petrov,Remote,Phone,3
INC100589,2025-01-03 02:51:02,2025-01-04 09:39:38,Hardware,Low,48,21.84,30.81,False,Closed,Service Desk L1,C. Novak,Branch - Singapore,Email,4
INC100794,2025-01-03 06:56:15,2025-01-03 09:29:15,Network,High,8,1.71,2.55,False,Closed,Systems Admin,L. Fernandes,Branch - London,Email,5
INC102925,2025-01-03 10:50:30,2025-01-03 13:54:42,Email,High,8,3.07,3.07,False,Resolved,Desktop Support,G. Petrov,Remote,Phone,5
INC102307,2025-01-03 14:24:55,,Software,Medium,24,0.06,5.03,False,Reopened,App Support,I. Rossi,HQ - Dubai,Email,
INC100274,2025-01-03 14:34:41,2025-01-04 17:16:41,Printer,Medium,24,2.74,26.7,True,Resolved,Security Team,D. Ahmed,Branch - Singapore,Chat,4
INC101292,2025-01-03 19:59:21,2025-01-04 16:49:09,Software,Medium,24,6.25,20.83,False,Resolved,Security Team,H. Osei,Remote,Phone,5
INC102870,2025-01-03 23:48:37,,Hardware,Low,48,17.33,81.22,True,Reopened,Security Team,J. Kim,HQ - Dubai,Phone,
